PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Kimmo,Ford DiscGolfPark,Blue layout 2021,2021-05-17 19:01,89,29,5,4,5,5,5,3,6,6,11,3,7,5,3,6,4,4,4,3,,,,,,
Emma,Ford DiscGolfPark,Blue layout 2021,2021-05-17 19:01,98,38,6,5,5,6,5,4,4,8,6,4,6,6,4,7,6,5,5,6,,,,,,
Saikkis,Ford DiscGolfPark,Blue layout 2021,2021-05-17 19:01,83,23,6,4,5,4,7,4,3,6,2,4,4,5,4,7,4,3,7,4,,,,,,
Henkka,Ford DiscGolfPark,Blue layout 2021,2021-05-17 19:01,75,15,5,2,5,4,5,3,4,8,4,3,7,7,3,4,3,3,3,2,,,,,,
Par,Malminiitty,Niitty,2021-05-16 17:38,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-05-16 17:38,28,1,3,3,2,3,3,4,3,3,4,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-05-16 17:38,30,3,3,2,3,3,4,3,5,4,3,,,,,,,,,,,,,,,
Saku,Malminiitty,Niitty,2021-05-16 17:38,33,6,3,3,3,3,6,4,3,4,4,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-05-16 16:49,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-05-16 16:49,28,1,3,3,3,3,3,4,3,3,3,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-05-16 16:49,35,8,3,3,5,5,3,4,4,4,4,,,,,,,,,,,,,,,
Saku,Malminiitty,Niitty,2021-05-16 16:49,21,3,0,0,0,3,4,5,3,3,3,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-05-12 22:38,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-05-12 22:38,23,-4,2,2,2,2,3,4,3,3,2,,,,,,,,,,,,,,,
Emma,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Rantapuisto (9 väylää),2021-05-12 22:38,26,-1,3,4,2,2,3,3,4,2,3,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2021-05-12 20:39,58,,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,4,3,3,,,,,,
Kimmo,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2021-05-12 20:39,73,15,4,3,4,4,5,4,4,4,4,4,3,3,4,5,6,5,4,3,,,,,,
Emma,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2021-05-12 20:39,83,25,4,4,6,4,7,4,4,4,4,6,4,4,5,4,6,6,4,3,,,,,,
Par,Laakspohja Disc Golf Course,Vakio layout,2021-05-11 18:17,61,,4,3,4,3,3,4,3,3,3,3,3,4,3,5,3,3,3,4,,,,,,
Kimmo,Laakspohja Disc Golf Course,Vakio layout,2021-05-11 18:17,75,14,5,3,6,4,4,5,3,3,4,4,3,5,5,6,3,3,4,5,,,,,,
Emma,Laakspohja Disc Golf Course,Vakio layout,2021-05-11 18:17,85,24,5,2,8,4,4,7,3,3,4,4,4,6,5,8,4,3,5,6,,,,,,
Par,Malminiitty,Niitty,2021-05-07 22:59,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2021-05-07 22:59,31,4,3,2,4,2,4,4,5,4,3,,,,,,,,,,,,,,,
Emma,Malminiitty,Niitty,2021-05-07 22:59,31,4,3,3,3,3,3,4,4,4,4,,,,,,,,,,,,,,,
Saikkis,Malminiitty,Niitty,2021-05-07 22:59,29,2,3,3,3,3,3,3,3,4,4,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-05-07 22:59,28,1,2,3,4,3,3,3,3,4,3,,,,,,,,,,,,,,,
Teemu,Malminiitty,Niitty,2021-05-07 22:59,32,5,2,5,3,3,4,4,5,3,3,,,,,,,,,,,,,,,
Par,Varistonniitty,Main,2021-05-07 19:48,60,,3,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,3,,,,,,
Kimmo,Varistonniitty,Main,2021-05-07 19:48,79,19,4,4,6,5,4,2,3,4,3,5,4,4,4,4,7,6,4,6,,,,,,
Emma,Varistonniitty,Main,2021-05-07 19:48,93,33,6,4,7,6,6,3,4,4,4,5,6,4,5,4,8,6,5,6,,,,,,
Par,Meilahden kiekkogolfrata,Main,2021-05-04 16:53,48,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,
Kimmo,Meilahden kiekkogolfrata,Main,2021-05-04 16:53,54,6,5,3,3,5,3,3,3,3,3,3,3,3,3,5,3,3,,,,,,,,
Saikkis,Meilahden kiekkogolfrata,Main,2021-05-04 16:53,60,12,3,4,3,4,4,4,5,4,3,3,4,3,4,5,4,3,,,,,,,,
Henkka,Meilahden kiekkogolfrata,Main,2021-05-04 16:53,48,0,4,4,3,3,3,3,3,3,2,3,2,3,2,4,3,3,,,,,,,,
Teemu,Meilahden kiekkogolfrata,Main,2021-05-04 16:53,62,14,6,4,4,4,4,4,6,3,4,4,4,2,2,4,3,4,,,,,,,,
Par,Siltamäki,Updated,2021-05-03 19:46,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Kimmo,Siltamäki,Updated,2021-05-03 19:46,62,9,3,4,2,2,3,3,3,4,5,4,4,4,3,3,5,4,3,3,,,,,,
